"Anno di Riferimento";"Codice Voce Contabile";"Descrizione Voce Contabile";"Importo Totale";"Data Aggiornamento";
"2008";"B01035";"B.1.A.6)  Materiali diagnostici, lastre RX, mezzi di contrasto per RX, carta per ECG, ECG, etc.";255550000.00;"06/12/2011";
"2008";"B01040";"B.1.A.7)   Presidi chirurgici e materiali sanitari";2515993000.00;"06/12/2011";
"2008";"B01045";"B.1.A.8)  Materiali protesici";1307833000.00;"06/12/2011";
"2008";"B01050";"B.1.A.9)  Materiali per emodialisi";279739000.00;"06/12/2011";
"2008";"B01055";"B.1.A.10)  Materiali e Prodotti per uso veterinario";6790000.00;"06/12/2011";
"2008";"B01060";"B.1.A.11)  Altri beni e prodotti sanitari";154495000.00;"06/12/2011";
"2008";"B01070";"B.1.B)  Acquisti di beni non sanitari";736701000.00;"06/12/2011";
"2008";"B01075";"B.1.B.1)  Prodotti alimentari";103059000.00;"06/12/2011";
"2008";"B01080";"B.1.B.2)  Materiali di guardaroba, di pulizia e di convivenza in genere";105853000.00;"06/12/2011";
"2008";"B01085";"B.1.B.3)  Combustibili, carburanti e lubrificanti";167697000.00;"06/12/2011";
"2008";"B01090";"B.1.B.4)  Supporti informatici e cancelleria";154085000.00;"06/12/2011";
"2008";"B01095";"B.1.B.5)  Materiale per la manutenzione";94574000.00;"06/12/2011";
"2008";"B01100";"B.1.B.6)  Altri beni non sanitari";111433000.00;"06/12/2011";
"2008";"B02000";"B.2)  Acquisti di servizi";53912781000.00;"06/12/2011";
"2008";"B02005";"B.2.A)   Acquisti servizi sanitari";46970004000.00;"06/12/2011";
"2008";"B02010";"B.2.A.1)   Acquisti servizi sanitari per medicina di base";6083268000.00;"06/12/2011";
"2008";"B02015";"B.2.A.1.1) - da convenzione";6067592000.00;"06/12/2011";
"2008";"B02020";"B.2.A.1.1.A) Spese per assistenza MMG";4216072000.00;"06/12/2011";
"2008";"B02025";"B.2.A.1.1.B) Spese per assistenza PLS";934296000.00;"06/12/2011";
"2008";"B02030";"B.2.A.1.1.C) Spese per assistenza Continuita' assistenziale";643055000.00;"06/12/2011";
"2008";"B02035";"B.2.A.1.1.D) Altro (medicina dei servizi, psicologi, medici 118, ecc)";274169000.00;"06/12/2011";
"2008";"B02040";"B.2.A.1.2) - da pubblico (Asl-AO, IRCCS, Policlinici della Regione) - Mobilita' intraregionale";15000.00;"14/07/2011";
"2008";"B02045";"B.2.A.1.3) - da pubblico Mobilita' ( Extra Regione)";15661000.00;"06/12/2011";
"2008";"B02050";"B.2.A.2)   Acquisti servizi sanitari per farmaceutica";11494611000.00;"06/12/2011";
"2008";"B02055";"B.2.A.2.1) - da convenzione";11433224000.00;"06/12/2011";
"2008";"B02065";"B.2.A.2.3) - da pubblico ( extra Regione)";61387000.00;"06/12/2011";
"2008";"B02070";"B.2.A.3)   Acquisti servizi sanitari per assistenza specialistica ambulatoriale";4218823000.00;"06/12/2011";
"2008";"B02075";"B.2.A.3.1)  - da pubblico (Asl-AO, IRCCS, Policlinici della Regione)-  Mobilita' intraregionale";178000.00;"14/07/2011";
"2008";"B02080";"B.2.A.3.2)  - da pubblico (altri soggetti pubbl. della Regione)";28433000.00;"06/12/2011";
"2008";"B02085";"B.2.A.3.3)  - da pubblico (extra Regione)";313316000.00;"06/12/2011";
"2008";"B02090";"B.2.A.3.4)  - da privato - Medici SUMAI";821327000.00;"06/12/2011";
"2008";"B02095";"B.2.A.3.5)  - da privato";2975834000.00;"06/12/2011";
"2008";"B02100";"B.2.A.3.5.A) Servizi sanitari per assistenza specialistica da IRCCS Privati e Policl.privati";246222000.00;"14/07/2011";
"2008";"B02105";"B.2.A.3.5.B) Servizi sanitari per assistenza specialistica da Ospedali Classificati privati";220418000.00;"14/07/2011";
